alpha,fold,catboost_weight,poisson_weight,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1,predicted_draws,actual_draws
0.1,Fold 2,0.9500000000000001,0.04999999999999993,185,0.5351351351351351,1.0034579521351707,0.0,0.0,0.0,0,43
0.1,Fold 2,1.0,0.0,185,0.5405405405405406,1.0045389158390008,0.0,0.0,0.0,0,43
0.1,Fold 3,0.0,1.0,185,0.4864864864864865,1.0453290418935357,0.0,0.0,0.0,0,38
0.1,Fold 3,0.05,0.95,185,0.4810810810810811,1.0387608605303094,0.0,0.0,0.0,0,38
0.1,Fold 3,0.1,0.9,185,0.4864864864864865,1.0334750262028496,0.0,0.0,0.0,0,38
0.1,Fold 3,0.15000000000000002,0.85,185,0.4918918918918919,1.029064400405443,0.0,0.0,0.0,0,38
0.1,Fold 3,0.2,0.8,185,0.5027027027027027,1.0253173949761738,0.0,0.0,0.0,0,38
0.1,Fold 3,0.25,0.75,185,0.5081081081081081,1.0221083475102697,0.0,0.0,0.0,0,38
0.1,Fold 3,0.30000000000000004,0.7,185,0.5027027027027027,1.0193562435218528,0.0,0.0,0.0,0,38
0.1,Fold 3,0.35000000000000003,0.6499999999999999,185,0.4972972972972973,1.0170059798480846,0.0,0.0,0.0,1,38
0.1,Fold 3,0.4,0.6,185,0.4918918918918919,1.015018761995096,0.0,0.0,0.0,1,38
0.1,Fold 3,0.45,0.55,185,0.4864864864864865,1.0133667465388212,0.0,0.0,0.0,1,38
0.1,Fold 3,0.5,0.5,185,0.4810810810810811,1.0120298647345198,0.0,0.0,0.0,2,38
0.1,Fold 3,0.55,0.44999999999999996,185,0.4810810810810811,1.0109938594954293,0.0,0.0,0.0,2,38
0.1,Fold 3,0.6000000000000001,0.3999999999999999,185,0.4864864864864865,1.0102490452872244,0.3333333333333333,0.02631578947368421,0.048780487804878044,3,38
0.1,Fold 3,0.65,0.35,185,0.4918918918918919,1.0097895284865126,0.3333333333333333,0.02631578947368421,0.048780487804878044,3,38
0.1,Fold 3,0.7000000000000001,0.29999999999999993,185,0.4918918918918919,1.009612743906276,0.3333333333333333,0.02631578947368421,0.048780487804878044,3,38
0.1,Fold 3,0.75,0.25,185,0.4864864864864865,1.0097192300080289,0.25,0.02631578947368421,0.04761904761904762,4,38
0.1,Fold 3,0.8,0.19999999999999996,185,0.4864864864864865,1.0101126079059315,0.2,0.02631578947368421,0.046511627906976744,5,38
0.1,Fold 3,0.8500000000000001,0.1499999999999999,185,0.4864864864864865,1.0107997619848674,0.2,0.02631578947368421,0.046511627906976744,5,38
0.1,Fold 3,0.9,0.09999999999999998,185,0.4972972972972973,1.0117912525301291,0.4,0.05263157894736842,0.09302325581395349,5,38
0.1,Fold 3,0.9500000000000001,0.04999999999999993,185,0.5027027027027027,1.0131020330273375,0.4,0.05263157894736842,0.09302325581395349,5,38
0.1,Fold 3,1.0,0.0,185,0.5081081081081081,1.0147526115443672,0.5,0.07894736842105263,0.13636363636363635,6,38
0.3,Fold 1,0.0,1.0,185,0.572972972972973,0.9968929213479379,0.0,0.0,0.0,0,44
0.3,Fold 1,0.05,0.95,185,0.5783783783783784,0.9958274574383558,0.0,0.0,0.0,0,44
0.3,Fold 1,0.1,0.9,185,0.5783783783783784,0.9948574708170569,0.0,0.0,0.0,0,44
0.3,Fold 1,0.15000000000000002,0.85,185,0.5621621621621622,0.9939822929426763,0.0,0.0,0.0,0,44
0.3,Fold 1,0.2,0.8,185,0.5567567567567567,0.9932014742745626,0.0,0.0,0.0,0,44
0.3,Fold 1,0.25,0.75,185,0.5459459459459459,0.9925147783853433,0.0,0.0,0.0,0,44
0.3,Fold 1,0.30000000000000004,0.7,185,0.5513513513513514,0.9919221787406978,0.0,0.0,0.0,0,44
0.3,Fold 1,0.35000000000000003,0.6499999999999999,185,0.5513513513513514,0.991423858016643,0.0,0.0,0.0,0,44
0.3,Fold 1,0.4,0.6,185,0.5459459459459459,0.9910202099040617,0.0,0.0,0.0,0,44
0.3,Fold 1,0.45,0.55,185,0.5405405405405406,0.9907118434256683,0.0,0.0,0.0,0,44
0.3,Fold 1,0.5,0.5,185,0.5459459459459459,0.9904995898664105,0.0,0.0,0.0,0,44
0.3,Fold 1,0.55,0.44999999999999996,185,0.5405405405405406,0.9903845124986911,0.0,0.0,0.0,0,44
0.3,Fold 1,0.6000000000000001,0.3999999999999999,185,0.5405405405405406,0.990367919373447,0.0,0.0,0.0,0,44
0.3,Fold 1,0.65,0.35,185,0.5459459459459459,0.9904513795524124,0.0,0.0,0.0,0,44
0.3,Fold 1,0.7000000000000001,0.29999999999999993,185,0.5351351351351351,0.9906367432826118,0.0,0.0,0.0,0,44
0.3,Fold 1,0.75,0.25,185,0.5297297297297298,0.9909261667700274,0.0,0.0,0.0,0,44
0.3,Fold 1,0.8,0.19999999999999996,185,0.5297297297297298,0.991322142407321,0.0,0.0,0.0,0,44
0.3,Fold 1,0.8500000000000001,0.1499999999999999,185,0.5297297297297298,0.991827535566803,0.0,0.0,0.0,0,44
0.3,Fold 1,0.9,0.09999999999999998,185,0.5243243243243243,0.9924456294076521,0.0,0.0,0.0,0,44
0.3,Fold 1,0.9500000000000001,0.04999999999999993,185,0.518918918918919,0.9931801795989695,0.0,0.0,0.0,0,44
0.3,Fold 1,1.0,0.0,185,0.518918918918919,0.9940354814764374,0.0,0.0,0.0,0,44
0.3,Fold 2,0.0,1.0,185,0.5135135135135135,0.999031752818114,0.0,0.0,0.0,0,43
