iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,best_iteration,validation_accuracy,validation_log_loss,elapsed_seconds
300,6,0.03,3,1.0,1.0,242,0.4828897338403042,1.026271404814822,2.27
500,6,0.03,3,1.0,1.0,242,0.4828897338403042,1.026271404814822,2.31
800,6,0.03,3,1.0,1.0,242,0.4828897338403042,1.026271404814822,2.32
300,7,0.03,7,1.0,1.0,176,0.4866920152091255,1.0264346269835372,3.27
500,7,0.03,7,1.0,1.0,176,0.4866920152091255,1.0264346269835372,3.46
800,7,0.03,7,1.0,1.0,176,0.4866920152091255,1.0264346269835372,3.24
300,5,0.03,3,0.5,0.5,141,0.4752851711026616,1.0268071918228197,1.06
500,5,0.03,3,0.5,0.5,141,0.4752851711026616,1.0268071918228197,0.87
800,5,0.03,3,0.5,0.5,141,0.4752851711026616,1.0268071918228197,0.93
300,7,0.03,7,0.5,0.5,149,0.4828897338403042,1.026991840402991,2.95
500,7,0.03,7,0.5,0.5,149,0.4828897338403042,1.026991840402991,2.91
800,7,0.03,7,0.5,0.5,149,0.4828897338403042,1.026991840402991,2.85
300,6,0.03,3,1.0,0.5,189,0.4752851711026616,1.0273708448620655,1.92
500,6,0.03,3,1.0,0.5,189,0.4752851711026616,1.0273708448620655,1.88
800,6,0.03,3,1.0,0.5,189,0.4752851711026616,1.0273708448620655,1.89
300,7,0.05,7,0.5,1.0,200,0.46387832699619774,1.0274535387233197,3.6
500,7,0.05,7,0.5,1.0,200,0.46387832699619774,1.0274535387233197,3.6
800,7,0.05,7,0.5,1.0,200,0.46387832699619774,1.0274535387233197,3.6
300,5,0.05,7,0.5,0.5,132,0.4828897338403042,1.0274952971006188,0.83
500,5,0.05,7,0.5,0.5,132,0.4828897338403042,1.0274952971006188,0.83
800,5,0.05,7,0.5,0.5,132,0.4828897338403042,1.0274952971006188,0.83
300,5,0.03,7,0.5,1.0,239,0.4600760456273764,1.0279112643971553,1.34
500,5,0.03,7,0.5,1.0,239,0.4600760456273764,1.0279112643971553,1.3
800,5,0.03,7,0.5,1.0,239,0.4600760456273764,1.0279112643971553,1.3
300,6,0.03,7,1.0,1.0,189,0.4828897338403042,1.0282789453701122,1.91
500,6,0.03,7,1.0,1.0,189,0.4828897338403042,1.0282789453701122,1.86
800,6,0.03,7,1.0,1.0,189,0.4828897338403042,1.0282789453701122,1.91
300,5,0.05,7,1.0,0.5,130,0.4752851711026616,1.0290334864132094,0.83
500,5,0.05,7,1.0,0.5,130,0.4752851711026616,1.0290334864132094,0.88
800,5,0.05,7,1.0,0.5,130,0.4752851711026616,1.0290334864132094,0.84
300,7,0.03,3,0.5,1.0,157,0.46387832699619774,1.030929029951558,3.01
500,7,0.03,3,0.5,1.0,157,0.46387832699619774,1.030929029951558,2.96
800,7,0.03,3,0.5,1.0,157,0.46387832699619774,1.030929029951558,3.0
300,6,0.03,3,0.5,0.5,154,0.467680608365019,1.0310727551867946,1.61
500,6,0.03,3,0.5,0.5,154,0.467680608365019,1.0310727551867946,1.61
800,6,0.03,3,0.5,0.5,154,0.467680608365019,1.0310727551867946,1.64
300,6,0.05,3,0.5,0.5,84,0.4752851711026616,1.031597904260504,1.08
500,6,0.05,3,0.5,0.5,84,0.4752851711026616,1.031597904260504,1.08
800,6,0.05,3,0.5,0.5,84,0.4752851711026616,1.031597904260504,1.12
300,6,0.05,7,0.5,0.5,111,0.4790874524714829,1.0341344396109984,1.29
500,6,0.05,7,0.5,0.5,111,0.4790874524714829,1.0341344396109984,1.28
800,6,0.05,7,0.5,0.5,111,0.4790874524714829,1.0341344396109984,1.28
