fold,draw_weight,fixture_id,kickoff,home_team_id,away_team_id,actual,prediction,p_home,p_draw,p_away,confidence,best_iteration,features_count,correct,max_non_draw,draw_rank
Fold 1,1.0,548,2025-02-12 19:30:00,9,6,D,A,0.2432432778397322,0.2535499592088229,0.503206762951445,0.503206762951445,48,60,False,0.503206762951445,2.0
Fold 2,1.0,1300,2025-04-05 18:45:00,60,69,D,H,0.4857077989324387,0.2515436153184735,0.2627485857490877,0.4857077989324387,44,60,False,0.4857077989324387,3.0
Fold 1,1.0,1595,2025-02-02 20:00:00,91,81,D,H,0.4297243748888066,0.2507762349088797,0.3194993902023136,0.4297243748888066,48,60,False,0.4297243748888066,3.0
Fold 1,1.0,876,2025-02-09 14:30:00,57,53,D,A,0.3693391541146996,0.2505741876954582,0.3800866581898421,0.3800866581898421,48,60,False,0.3800866581898421,3.0
Fold 2,1.0,616,2025-04-06 15:30:00,1,14,D,A,0.292459173009006,0.2502621773773555,0.4572786496136385,0.4572786496136385,44,60,False,0.4572786496136385,3.0
Fold 1,1.0,1238,2025-02-15 17:00:00,59,62,D,H,0.3856407387271325,0.249547728716163,0.3648115325567044,0.3856407387271325,48,60,False,0.3856407387271325,3.0
Fold 1,1.0,555,2025-02-15 15:00:00,20,18,D,H,0.5707557652998564,0.2477026490218742,0.1815415856782694,0.5707557652998564,48,60,False,0.5707557652998564,2.0
Fold 1,1.0,1242,2025-02-16 14:00:00,78,76,D,H,0.3833358718432944,0.2471152809611298,0.3695488471955758,0.3833358718432944,48,60,False,0.3833358718432944,3.0
Fold 2,1.0,1662,2025-03-30 16:30:00,81,96,D,H,0.5552723683793132,0.246371104076856,0.1983565275438308,0.5552723683793132,44,60,False,0.5552723683793132,2.0
Fold 1,1.0,190,2025-02-14 19:45:00,34,35,D,H,0.5351583967738259,0.2428172014580158,0.2220244017681583,0.5351583967738259,48,60,False,0.5351583967738259,2.0
Fold 1,1.0,1223,2025-02-02 19:45:00,66,62,D,H,0.3940161415905294,0.2427409635168521,0.3632428948926185,0.3940161415905294,48,60,False,0.3940161415905294,3.0
Fold 1,1.0,867,2025-02-02 14:30:00,49,42,D,H,0.4849840446573796,0.241882668202344,0.2731332871402762,0.4849840446573796,48,60,False,0.4849840446573796,3.0
Fold 3,1.0,668,2025-05-11 15:30:00,6,8,D,H,0.5259814429841629,0.2402411120285447,0.2337774449872922,0.5259814429841629,273,60,False,0.5259814429841629,2.0
