fold,fixture_id,actual,cat_prediction,cat_p_home,cat_p_draw,cat_p_away,hybrid_prediction,hybrid_p_home,hybrid_p_draw,hybrid_p_away,cat_correct,hybrid_correct,changed
Fold 1,1626,D,H,0.4871344184670965,0.2639723486217784,0.2488932329111252,H,0.4695515695963439,0.2596320325800422,0.2708163978236139,False,False,False
Fold 1,570,A,A,0.2773771639341761,0.2772497352696121,0.4453731007962117,A,0.2862348410332337,0.2678785063832339,0.4458866525835324,True,True,False
Fold 1,571,H,H,0.4349205114328611,0.2885591324887759,0.276520356078363,H,0.3812287575352328,0.2767432082746153,0.3420280341901519,True,True,False
Fold 1,572,H,H,0.4040680108931648,0.2741560743754933,0.3217759147313419,H,0.4108805861239705,0.2657641511355968,0.3233552627404326,True,True,False
Fold 1,573,H,H,0.5602963553570429,0.2458582238386766,0.1938454208042804,H,0.5540091568773626,0.2451335586271714,0.2008572844954659,True,True,False
Fold 1,574,H,H,0.494089670337795,0.2632686688701205,0.2426416607920844,H,0.4861310897615367,0.2618218320840348,0.2520470781544283,True,True,False
Fold 1,575,A,A,0.2967080154754641,0.2819317405862457,0.4213602439382902,A,0.3008748850494511,0.2696086578311952,0.4295164571193536,True,True,False
Fold 1,576,D,H,0.451406771966132,0.2638434417204543,0.2847497863134136,H,0.4349368283725451,0.2643262316953244,0.3007369399321304,False,False,False
Fold 1,577,D,A,0.2705827684494009,0.2591139413559826,0.4703032901946166,A,0.2777828481482028,0.2526142191287014,0.4696029327230957,False,False,False
Fold 1,578,H,H,0.4808474129581551,0.2572273709160104,0.2619252161258345,H,0.4720485582098109,0.2535685685038556,0.2743828732863335,True,True,False
Fold 1,1256,H,H,0.3725364230857796,0.296578371856687,0.3308852050575332,H,0.3755630159081565,0.2821987597887344,0.3422382243031091,True,True,False
Fold 1,579,H,H,0.5016486354038064,0.2692422252641001,0.2291091393320934,H,0.5007806276150781,0.2590220232378539,0.2401973491470679,True,True,False
Fold 1,896,A,A,0.2386208548201074,0.2968117138788975,0.464567431300995,A,0.2464258104834833,0.2740231750216451,0.4795510144948716,True,True,False
Fold 1,208,H,H,0.5782381527399445,0.2378170831199409,0.1839447641401145,H,0.5858836117727253,0.224417410527554,0.1896989776997206,True,True,False
Fold 1,1257,H,H,0.4952025905379585,0.2597944901585506,0.2450029193034908,H,0.4865103430001311,0.2582158106893601,0.2552738463105086,True,True,False
Fold 1,1627,D,A,0.3066364223645019,0.2716018416973927,0.4217617359381052,A,0.3167028781728512,0.2633502295276739,0.4199468922994748,False,False,False
Fold 1,1628,D,H,0.4108236657221955,0.2652908328332297,0.3238855014445748,H,0.404169585585478,0.2625312780198652,0.3332991363946567,False,False,False
Fold 1,1258,D,H,0.6321967143244683,0.2161288892271797,0.1516743964483518,H,0.6179938767127149,0.2174735757407605,0.1645325475465246,False,False,False
Fold 1,897,A,H,0.4843943970384209,0.2438256556554316,0.2717799473061473,H,0.4294263073738963,0.2353311585674293,0.3352425340586742,False,False,False
Fold 1,900,A,A,0.3623673913599658,0.2557603302085736,0.3818722784314605,A,0.3400691291425619,0.2496470783953568,0.4102837924620812,True,True,False
